JOURNAL_ARTICLE, , DOI, 10.5062/F42R3PMS
JOURNAL_ARTICLE, , EID, 10.5062/F42R3PMS
JOURNAL_ARTICLE, , DOI, 2-s2.0-84858766300
JOURNAL_ARTICLE, , EID, 2-s2.0-84858766300
JOURNAL_ARTICLE, Science & Technology Libraries, DOI, 10.1080/0194262x.2015.1135304
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
OTHER, Chemical Information for Chemists, DOI, 10.1039/9781782620655-00206
OTHER, Chemical Information for Chemists, ISBN, 10.1039/9781782620655-00206
OTHER, Chemical Information for Chemists, DOI, 978-1-84973-551-3
OTHER, Chemical Information for Chemists, ISBN, 978-1-84973-551-3
JOURNAL_ARTICLE, , DOI, 10.5062/F42R3PMS
JOURNAL_ARTICLE, , EID, 10.5062/F42R3PMS
JOURNAL_ARTICLE, , DOI, 2-s2.0-84858766300
JOURNAL_ARTICLE, , EID, 2-s2.0-84858766300
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
JOURNAL_ARTICLE, Abstracts of Papers of the American Chemical Society, ISSN, 0065-7727
CONFERENCE_PAPER, , EID, 2-s2.0-2442514124
